Lead_ID,Name,Company,Industry,Annual_Revenue,Lead_Source,Status,Pages_Viewed,Email_Open_Rate,CTA_Clicks,Demo_Requested,Converted_to_Opportunity
00Q1IZNX0PRJJH1DN1,Crystal Thompson,Davis-Irwin,Energy,1722449.94,Web Download,Open - Not Contacted,8,0.23,0,0,0
00Q9P56HQB20F7F3PP,Nicole Wilkerson,Cameron-Jarvis,Financial Services,4600939.68,Web,Converted,6,0.223,2,0,1
00Q1CCXTF0PK9JSJL2,Bruce Merritt,Hill Group,Nonprofit,2237379.07,Partner Referral,Unqualified,6,0.202,0,0,0
00QPCF4RYSIRQQ4MF1,Amber Hampton,"Chambers, Garner and Wells",Nonprofit,1713415.22,Partner Referral,Qualified,2,0.18,0,0,0
00QWDGAAYG9T4H70PI,Michele Moore,Murphy Group,Energy,14731520.29,Web,Working - Contacted,9,0.256,0,0,0
00Q11V22CAMNF2Q5PL,Cheryl Nunez,Mitchell-Hanson,Software,731108.37,Web Download,Open - Not Contacted,12,0.221,0,0,0
00QZ844K3ZGJEMEGP3,Nicole Gonzalez,Gordon and Sons,Healthcare,34289663.64,Email,Working - Contacted,8,0.354,0,0,0
00Q47HG82BVVSP8T0J,Erika Fry,Hill-Horton,Logistics,8473911.03,Web,Working - Contacted,4,0.181,0,0,0
00QBBGYW6X7YQVCMCE,Kevin Rush,Baker and Sons,Manufacturing,3378216.97,Email,Converted,11,0.299,2,1,1
00QCH2GBREOE2T2DXS,Kevin Norris,Chen-Simpson,Healthcare,4457327.41,Trade Show,Open - Not Contacted,8,0.156,0,0,0
00Q2NTE0BA6NOK7DXS,Brian Green,"Adams, Mckay and Montoya",Financial Services,17000084.6,Web,Qualified,6,0.136,0,1,0
00QRQKN7K9L6HNG28D,Frederick Holmes,Sutton-Vazquez,Healthcare,639966.92,Purchased List,Nurturing,5,0.01,0,0,0
00QZH74ABTHJG3LI0E,Kimberly Taylor,"Flowers, Brown and Reyes",Software,8491388.14,Phone Inquiry,Open - Not Contacted,5,0.08,0,0,0
00QSZ5UNT4XTXY8770,Kenneth Williams,Lewis-Flores,Software,2971590.61,Partner Referral,Converted,9,0.214,1,0,1
00Q4CAPAJ58WVRGJ8A,Ariel Bean,Sullivan-Harrington,Energy,30923382.77,Web,Unqualified,2,0.142,0,0,0
00QXZFGLIGDMBJJ2LX,Bradley Jones,Bautista LLC,Financial Services,59245472.55,Web,Working - Contacted,6,0.159,0,0,0
00Q2R6N24L6EXN86TX,Stacey Koch,"Shepherd, Clark and Acosta",Software,2066721.55,Partner Referral,Working - Contacted,3,0.218,0,0,0
00QRXSHTI3F5D7U07H,Christopher Mendoza,Moran PLC,E-Commerce,711230.72,Email,Open - Not Contacted,12,0.381,0,0,0
00QAWTWLFNWJLAWIZ8,Tamara Jones,Johnson-Hernandez,Healthcare,4422476.29,Email,Converted,16,0.242,0,0,1
00Q73QAMWVMAEOV1OA,Dalton Meadows,Burns and Sons,Software,1014544.36,Email,Open - Not Contacted,7,0.35,0,1,0
00Q5ZW8RZ70G0H1V9A,Christopher Vasquez,"Santiago, Young and Kelley",Software,3566946.79,Trade Show,Working - Contacted,9,0.193,0,0,0
00Q38GG9UYPDAQ2Q5C,Brandi Munoz,Parker Ltd,E-Commerce,4850230.29,Web,Open - Not Contacted,6,0.081,0,1,0
